,precision,recall,f1-score,support
0,0.9414,0.944,0.9427,30000.0
1,0.9997,0.9997,0.9997,30000.0
2,0.9994,0.9997,0.9995,30000.0
3,0.9998,0.9995,0.9996,30000.0
4,0.9625,0.8989,0.9296,30000.0
5,0.9304,0.9372,0.9338,16457.0
6,0.5073,0.9448,0.6601,2064.0
accuracy,0.965,0.965,0.965,0.965
macro avg,0.9058,0.9605,0.9236,168521.0
weighted avg,0.9699,0.965,0.9664,168521.0
