,precision,recall,f1-score,support
0,0.9272,0.9275,0.9274,30000.0
1,0.9997,0.9995,0.9996,30000.0
2,0.9991,0.9991,0.9991,30000.0
3,0.999,0.9992,0.9991,30000.0
4,0.9805,0.8426,0.9063,30000.0
5,0.9034,0.9039,0.9037,16457.0
6,0.3047,0.9249,0.4583,2064.0
accuracy,0.9484,0.9484,0.9484,0.9484
macro avg,0.8734,0.9424,0.8848,168521.0
weighted avg,0.9652,0.9484,0.954,168521.0
