,precision,recall,f1-score,support
0,0.9309,0.9322,0.9315,30000.0
1,0.9997,0.9996,0.9996,30000.0
2,0.9993,0.9993,0.9993,30000.0
3,0.9991,0.9993,0.9992,30000.0
4,0.98,0.8556,0.9136,30000.0
5,0.9144,0.9226,0.9185,16457.0
6,0.3445,0.9486,0.5055,2064.0
accuracy,0.9537,0.9537,0.9537,0.9537
macro avg,0.8811,0.951,0.8953,168521.0
weighted avg,0.9674,0.9537,0.9581,168521.0
