,precision,recall,f1-score,support
0,0.9149,0.8975,0.9062,30000.0
1,0.9999,0.9994,0.9996,30000.0
2,0.999,0.9992,0.9991,30000.0
3,0.999,0.9992,0.9991,30000.0
4,0.9696,0.8261,0.8921,30000.0
5,0.9325,0.8297,0.8781,16457.0
6,0.2077,0.8949,0.3371,2064.0
accuracy,0.9325,0.9325,0.9325,0.9325
macro avg,0.8604,0.9209,0.8588,168521.0
weighted avg,0.9628,0.9325,0.9437,168521.0
