,precision,recall,f1-score,support
0,0.8475,0.652,0.737,30000.0
1,0.9978,0.9988,0.9983,30000.0
2,0.9968,0.9914,0.9941,30000.0
3,0.9981,0.9896,0.9938,30000.0
4,0.9541,0.7145,0.8171,30000.0
5,0.989,0.5568,0.7125,16457.0
6,0.0827,0.9651,0.1523,2064.0
accuracy,0.8399,0.8399,0.8399,0.8399
macro avg,0.838,0.8383,0.7722,168521.0
weighted avg,0.9511,0.8399,0.8797,168521.0
