,precision,recall,f1-score,support
0,0.9204,0.9213,0.9209,30000.0
1,0.9998,0.9995,0.9996,30000.0
2,0.9991,0.9995,0.9993,30000.0
3,0.9995,0.9993,0.9994,30000.0
4,0.9719,0.8391,0.9006,30000.0
5,0.9043,0.9012,0.9028,16457.0
6,0.3008,0.9026,0.4513,2064.0
accuracy,0.9462,0.9462,0.9462,0.9462
macro avg,0.8708,0.9375,0.882,168521.0
weighted avg,0.9626,0.9462,0.9517,168521.0
