,precision,recall,f1-score,support
0,0.9339,0.9217,0.9278,30000.0
1,0.9998,0.9996,0.9997,30000.0
2,0.9993,0.9991,0.9992,30000.0
3,0.999,0.9994,0.9992,30000.0
4,0.9777,0.8501,0.9094,30000.0
5,0.9073,0.8993,0.9033,16457.0
6,0.2982,0.9414,0.453,2064.0
accuracy,0.9485,0.9485,0.9485,0.9485
macro avg,0.8736,0.9444,0.8845,168521.0
weighted avg,0.9663,0.9485,0.9545,168521.0
