,precision,recall,f1-score,support
0,0.9357,0.9475,0.9415,30000.0
1,0.9999,0.9997,0.9998,30000.0
2,0.9996,0.9997,0.9997,30000.0
3,0.9994,0.9996,0.9995,30000.0
4,0.9768,0.8826,0.9273,30000.0
5,0.9225,0.9355,0.929,16457.0
6,0.4603,0.969,0.6241,2064.0
accuracy,0.9629,0.9629,0.9629,0.9629
macro avg,0.8992,0.9619,0.9173,168521.0
weighted avg,0.9701,0.9629,0.9649,168521.0
