,precision,recall,f1-score,support
0,0.9282,0.9459,0.937,30000.0
1,0.9997,0.9996,0.9997,30000.0
2,0.9994,0.9993,0.9993,30000.0
3,0.9994,0.9995,0.9995,30000.0
4,0.9711,0.8707,0.9182,30000.0
5,0.9102,0.933,0.9215,16457.0
6,0.4546,0.9225,0.6091,2064.0
accuracy,0.9596,0.9596,0.9596,0.9596
macro avg,0.8947,0.9529,0.912,168521.0
weighted avg,0.9664,0.9596,0.9615,168521.0
