,precision,recall,f1-score,support
0,0.9186,0.9372,0.9278,30000.0
1,0.9997,0.9995,0.9996,30000.0
2,0.9989,0.9994,0.9992,30000.0
3,0.9993,0.9991,0.9992,30000.0
4,0.9755,0.8492,0.9079,30000.0
5,0.9143,0.8977,0.9059,16457.0
6,0.3351,0.9157,0.4907,2064.0
accuracy,0.9506,0.9506,0.9506,0.9506
macro avg,0.8774,0.9425,0.89,168521.0
weighted avg,0.9643,0.9506,0.955,168521.0
