,precision,recall,f1-score,support
0,0.933,0.9497,0.9413,30000.0
1,1.0,0.9996,0.9998,30000.0
2,0.9996,0.9994,0.9995,30000.0
3,0.9991,0.9997,0.9994,30000.0
4,0.971,0.8884,0.9278,30000.0
5,0.9194,0.9455,0.9322,16457.0
6,0.5356,0.937,0.6816,2064.0
accuracy,0.9648,0.9648,0.9648,0.9648
macro avg,0.9082,0.9599,0.9259,168521.0
weighted avg,0.9691,0.9648,0.9659,168521.0
