,precision,recall,f1-score,support
0,0.9275,0.9214,0.9245,30000.0
1,0.9997,0.9995,0.9996,30000.0
2,0.9994,0.9986,0.999,30000.0
3,0.9984,0.9994,0.9989,30000.0
4,0.9783,0.8346,0.9008,30000.0
5,0.8915,0.8954,0.8934,16457.0
6,0.2866,0.9157,0.4365,2064.0
accuracy,0.9449,0.9449,0.9449,0.9449
macro avg,0.8688,0.9378,0.879,168521.0
weighted avg,0.9634,0.9449,0.9511,168521.0
