,precision,recall,f1-score,support
0,0.9405,0.9491,0.9448,30000.0
1,0.9998,0.9998,0.9998,30000.0
2,0.9997,0.9996,0.9996,30000.0
3,0.9995,0.9996,0.9996,30000.0
4,0.9761,0.8919,0.9321,30000.0
5,0.9171,0.9566,0.9364,16457.0
6,0.5405,0.9598,0.6916,2064.0
accuracy,0.9668,0.9668,0.9668,0.9668
macro avg,0.9105,0.9652,0.9291,168521.0
weighted avg,0.9712,0.9668,0.9679,168521.0
