,precision,recall,f1-score,support
0,0.9495,0.9354,0.9424,30000.0
1,0.9998,0.9998,0.9998,30000.0
2,0.9999,0.9994,0.9997,30000.0
3,0.9995,0.9999,0.9997,30000.0
4,0.9714,0.8928,0.9304,30000.0
5,0.9101,0.9562,0.9326,16457.0
6,0.4823,0.9598,0.642,2064.0
accuracy,0.9645,0.9645,0.9645,0.9645
macro avg,0.9018,0.9633,0.9209,168521.0
weighted avg,0.9707,0.9645,0.9663,168521.0
