,precision,recall,f1-score,support
0,0.9184,0.9325,0.9254,30000.0
1,0.9997,0.9996,0.9997,30000.0
2,0.9994,0.9994,0.9994,30000.0
3,0.9993,0.9994,0.9994,30000.0
4,0.9773,0.8479,0.908,30000.0
5,0.9141,0.8972,0.9056,16457.0
6,0.3226,0.9191,0.4776,2064.0
accuracy,0.9496,0.9496,0.9496,0.9496
macro avg,0.8758,0.9422,0.8879,168521.0
weighted avg,0.9645,0.9496,0.9544,168521.0
