,precision,recall,f1-score,support
0,0.9297,0.945,0.9373,30000.0
1,0.9999,0.9996,0.9997,30000.0
2,0.9995,0.9997,0.9996,30000.0
3,0.9994,0.9996,0.9995,30000.0
4,0.9778,0.8647,0.9178,30000.0
5,0.9176,0.9303,0.9239,16457.0
6,0.4048,0.9438,0.5666,2064.0
accuracy,0.9584,0.9584,0.9584,0.9584
macro avg,0.8898,0.9547,0.9063,168521.0
weighted avg,0.968,0.9584,0.9613,168521.0
