,precision,recall,f1-score,support
0,0.9341,0.9537,0.9438,30000.0
1,0.9998,0.9997,0.9997,30000.0
2,0.9997,0.9996,0.9996,30000.0
3,0.9995,0.9997,0.9996,30000.0
4,0.9751,0.8873,0.9292,30000.0
5,0.9264,0.9426,0.9344,16457.0
6,0.5144,0.9593,0.6697,2064.0
accuracy,0.9654,0.9654,0.9654,0.9654
macro avg,0.907,0.9631,0.9251,168521.0
weighted avg,0.9705,0.9654,0.9667,168521.0
