,precision,recall,f1-score,support
0,0.999,0.9964,0.9977,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9312,0.942,0.9365,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9838,0.9004,0.9403,472.0
accuracy,0.9846,0.9846,0.9846,0.9846
macro avg,0.8804,0.9637,0.9018,7850.0
weighted avg,0.9885,0.9846,0.9858,7850.0
