Model,Source_File,Train_Time_s,Inference_Time_s,Best_Val_Accuracy,Test_Accuracy,Avg_GPU_Util_%,Max_GPU_Mem_Util_%,Avg_GPU_Temp_C,Avg_Power_Draw_W,Avg_CPU_Util_%,Avg_Memory_CPU_%
CNN,report_02_power_CNN_2_lay.csv,171.33,0.91,0.965,0.9846,33.15,11.0,48.24,60.69,33.31,6.99
LSTM,report_02_power_LSTM_2_lay.csv,498.17,1.46,0.9644,0.9819,56.32,11.0,56.46,82.47,29.61,6.67
GRU,report_02_power_GRU_2_lay.csv,486.12,1.08,0.9658,0.9841,55.16,9.0,52.87,73.48,32.2,8.18
DNN,report_02_power_DNN_2_lay.csv,133.01,0.78,0.9649,0.9843,8.23,2.0,42.74,35.81,40.02,8.8
CNN-LSTM,report_02_power_CNN-LSTM_2_lay.csv,346.53,1.34,0.9607,0.9833,40.89,6.0,51.94,62.27,40.23,10.62
CNN-DNN,report_02_power_CNN-DNN_2_lay.csv,152.42,0.92,0.962,0.9833,23.2,4.0,44.19,40.34,39.47,11.97
