,precision,recall,f1-score,support
0,0.999,0.9889,0.9939,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9081,0.9555,0.9312,517.0
4,0.8929,0.9434,0.9175,389.0
5,0.9722,0.8877,0.928,472.0
accuracy,0.979,0.979,0.979,0.979
macro avg,0.865,0.9626,0.8933,7850.0
weighted avg,0.9834,0.979,0.9804,7850.0
