,precision,recall,f1-score,support
0,0.9977,0.9947,0.9962,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9391,0.8956,0.9168,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9159,0.9004,0.9081,472.0
accuracy,0.9803,0.9803,0.9803,0.9803
macro avg,0.8702,0.9557,0.8929,7850.0
weighted avg,0.9839,0.9803,0.9815,7850.0
