,precision,recall,f1-score,support
0,0.999,0.9954,0.9972,6047.0
1,1.0,0.9974,0.9987,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9244,0.9458,0.935,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9746,0.8941,0.9326,472.0
accuracy,0.9836,0.9836,0.9836,0.9836
macro avg,0.8777,0.9627,0.9,7850.0
weighted avg,0.9875,0.9836,0.9848,7850.0
