,precision,recall,f1-score,support
0,0.9985,0.9964,0.9974,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9261,0.9458,0.9359,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9929,0.8919,0.9397,472.0
accuracy,0.9843,0.9843,0.9843,0.9843
macro avg,0.881,0.9629,0.9015,7850.0
weighted avg,0.9883,0.9843,0.9856,7850.0
