,precision,recall,f1-score,support
0,0.9992,0.9964,0.9978,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9263,0.9478,0.9369,517.0
4,0.9483,0.9434,0.9459,389.0
5,0.993,0.8962,0.9421,472.0
accuracy,0.9847,0.9847,0.9847,0.9847
macro avg,0.8807,0.964,0.902,7850.0
weighted avg,0.9887,0.9847,0.986,7850.0
