,precision,recall,f1-score,support
0,0.9977,0.9964,0.997,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9241,0.942,0.933,517.0
4,0.9483,0.9434,0.9459,389.0
5,0.9881,0.8771,0.9293,472.0
accuracy,0.9832,0.9832,0.9832,0.9832
macro avg,0.8793,0.9598,0.899,7850.0
weighted avg,0.9871,0.9832,0.9844,7850.0
