,precision,recall,f1-score,support
0,0.9977,0.996,0.9969,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9231,0.9516,0.9371,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9904,0.8729,0.9279,472.0
accuracy,0.9833,0.9833,0.9833,0.9833
macro avg,0.8799,0.9607,0.8997,7850.0
weighted avg,0.9873,0.9833,0.9845,7850.0
