,precision,recall,f1-score,support
0,0.9977,0.9955,0.9966,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9196,0.9516,0.9354,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9856,0.8708,0.9246,472.0
accuracy,0.9828,0.9828,0.9828,0.9828
macro avg,0.8785,0.9602,0.8988,7850.0
weighted avg,0.9868,0.9828,0.984,7850.0
