Model,Source_File,Train_Time_s,Inference_Time_s,Best_Val_Accuracy,Test_Accuracy,Avg_GPU_Util_%,Max_GPU_Mem_Util_%,Avg_GPU_Temp_C,Avg_Power_Draw_W,Avg_CPU_Util_%,Avg_Memory_CPU_%
CNN,report_02_power_CNN_3_lay.csv,170.21,1.02,0.9651,0.9841,30.29,7.0,48.96,55.47,34.31,7.42
LSTM,report_02_power_LSTM_3_lay.csv,575.34,1.45,0.9644,0.9822,55.89,9.0,51.89,71.59,30.5,6.91
GRU,report_02_power_GRU_3_lay.csv,592.27,1.32,0.9652,0.9836,57.18,7.0,49.23,64.74,31.14,8.44
DNN,report_02_power_DNN_3_lay.csv,139.13,0.83,0.9642,0.9839,9.5,0.0,42.61,37.05,39.65,9.12
CNN-LSTM,report_02_power_CNN-LSTM_3_lay.csv,401.72,1.44,0.9615,0.9833,40.35,4.0,49.99,57.08,38.93,10.84
CNN-DNN,report_02_power_CNN-DNN_3_lay.csv,161.3,1.0,0.9609,0.9837,23.88,2.0,43.97,39.69,38.93,12.39
