Model,Source_File,Train_Time_s,Inference_Time_s,Best_Val_Accuracy,Test_Accuracy,Avg_GPU_Util_%,Max_GPU_Mem_Util_%,Avg_GPU_Temp_C,Avg_Power_Draw_W,Avg_CPU_Util_%,Avg_Memory_CPU_%
CNN,report_02_power_CNN_5_lay.csv,175.75,1.22,0.9656,0.9847,29.34,5.0,46.59,46.82,35.07,8.11
LSTM,report_02_power_LSTM_5_lay.csv,770.91,2.03,0.9621,0.9772,56.33,6.0,47.98,61.74,31.04,7.61
GRU,report_02_power_GRU_5_lay.csv,820.18,2.39,0.9632,0.9803,59.89,5.0,46.09,57.11,30.44,9.07
DNN,report_02_power_DNN_5_lay.csv,149.32,0.92,0.9629,0.9806,11.71,3.0,42.0,35.34,38.7,9.98
CNN-LSTM,report_02_power_CNN-LSTM_5_lay.csv,510.13,2.67,0.9614,0.9824,39.99,3.0,48.0,52.72,38.21,11.42
CNN-DNN,report_02_power_CNN-DNN_5_lay.csv,174.2,1.05,0.9603,0.9818,24.36,2.0,43.0,39.29,38.54,13.26
