,precision,recall,f1-score,support
0,0.9987,0.9964,0.9975,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9245,0.9478,0.936,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9929,0.8898,0.9385,472.0
accuracy,0.9843,0.9843,0.9843,0.9843
macro avg,0.8807,0.9629,0.9014,7850.0
weighted avg,0.9883,0.9843,0.9856,7850.0
