Model,Source_File,,precision,recall,f1-score,support
CNN,report_01_class_CNN_2_lay.csv,weighted avg,0.9886,0.9846,0.9858,7850.0
LSTM,report_01_class_LSTM_2_lay.csv,weighted avg,0.9858,0.9819,0.9831,7850.0
GRU,report_01_class_GRU_2_lay.csv,weighted avg,0.988,0.9841,0.9853,7850.0
DNN,report_01_class_DNN_2_lay.csv,weighted avg,0.9883,0.9843,0.9856,7850.0
CNN-LSTM,report_01_class_CNN-LSTM_2_lay.csv,weighted avg,0.9873,0.9833,0.9845,7850.0
CNN-DNN,report_01_class_CNN-DNN_2_lay.csv,weighted avg,0.9872,0.9833,0.9845,7850.0
