,precision,recall,f1-score,support
0,0.9978,0.9962,0.997,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9244,0.9458,0.935,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9857,0.8771,0.9283,472.0
accuracy,0.9833,0.9833,0.9833,0.9833
macro avg,0.8794,0.9604,0.8994,7850.0
weighted avg,0.9872,0.9833,0.9845,7850.0
