,precision,recall,f1-score,support
0,0.9982,0.9919,0.995,6047.0
1,1.0,0.9974,0.9987,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9318,0.9246,0.9282,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9075,0.8941,0.9007,472.0
accuracy,0.9795,0.9795,0.9795,0.9795
macro avg,0.8676,0.9586,0.8931,7850.0
weighted avg,0.9833,0.9795,0.9808,7850.0
