,precision,recall,f1-score,support
0,0.9975,0.9962,0.9969,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9211,0.9478,0.9342,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.988,0.8686,0.9245,472.0
accuracy,0.9829,0.9829,0.9829,0.9829
macro avg,0.8791,0.9593,0.8986,7850.0
weighted avg,0.9869,0.9829,0.9841,7850.0
