,precision,recall,f1-score,support
0,0.9987,0.9916,0.9951,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9213,0.9516,0.9363,517.0
4,0.8929,0.9434,0.9175,389.0
5,0.9882,0.8856,0.9341,472.0
accuracy,0.9806,0.9806,0.9806,0.9806
macro avg,0.8698,0.962,0.8953,7850.0
weighted avg,0.985,0.9806,0.982,7850.0
