,precision,recall,f1-score,support
0,0.9978,0.9916,0.9947,6047.0
1,1.0,0.9974,0.9987,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9271,0.9342,0.9306,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9125,0.8835,0.8977,472.0
accuracy,0.9792,0.9792,0.9792,0.9792
macro avg,0.8676,0.9584,0.893,7850.0
weighted avg,0.983,0.9792,0.9805,7850.0
