,precision,recall,f1-score,support
0,0.9992,0.9957,0.9974,6047.0
1,1.0,1.0,1.0,387.0
2,0.4176,1.0,0.5891,38.0
3,0.9261,0.9458,0.9359,517.0
4,0.9508,0.9434,0.9471,389.0
5,0.9792,0.8962,0.9358,472.0
accuracy,0.9841,0.9841,0.9841,0.9841
macro avg,0.8788,0.9635,0.9009,7850.0
weighted avg,0.988,0.9841,0.9853,7850.0
