,Model,CNN,LSTM,GRU,DNN,CNN-LSTM,CNN-GRU,CNN-DNN,,,,,,,,,,,,,,,,,,
,,,,"0,9935","0,9951","0,9959","0,9961","0,9962",,,,,,,,,,,,,,,,,,
,,,,"0,9963","0,9963","0,9962","0,9963","0,9961",,,,,,,,,,,,,,,,,,
,,,,"0,9967","0,9961","0,9961","0,9962","0,996",,,,,,,,,,,,,,,,,,
,,,,"0,9959","0,9959","0,9956","0,9945","0,9936",,,,,,,,,,,,,,,,,,
,,,,"0,9962","0,9964","0,9963","0,9964","0,996",,,,,,,,,,,,,,,,,,
,,,,"0,996","0,9965","0,9959","0,9952","0,9957",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Model,CNN,LSTM,GRU,DNN,CNN-LSTM,CNN-DNN,,,,,,,,,,,,,,,,
,,,,Model 1 layer,"0,9935","0,9963","0,9967","0,9959","0,9962","0,996",,,,,,,,,,,,,,,,
,,,,Model 2 layer,"0,9951","0,9963","0,9961","0,9959","0,9964","0,9965",,,,0.99, 0.9963, 0.9967, 0.9959, 0.9962, 0.9960,,,,,,,
,,,,Model 3 layer,"0,9959","0,9962","0,9961","0,9956","0,9963","0,9959",,,,1.00, 0.9963, 0.9961, 0.9959, 0.9964, 0.9965,,,,,,,
,,,,Model 4 layer,"0,9961","0,9963","0,9962","0,9945","0,9964","0,9952",,,,1.00, 0.9962, 0.9961, 0.9956, 0.9963, 0.9959,,,,,,,
,,,,Model 5 layer,"0,9962","0,9961","0,996","0,9936","0,996","0,9957",,,,1.00, 0.9963, 0.9962, 0.9945, 0.9964, 0.9952,,,,,,,
,,,,,,,,,,,,,,1.00, 0.9961, 0.9960, 0.9936, 0.9960, 0.9957,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Model,CNN,LSTM,GRU,DNN,CNN-LSTM,CNN-DNN,,,,,,,,,,,,,,,,
,1 Layer,,,1 Layer,"0,9935","0,9963","0,9965","0,9959","0,9962","0,996",,,,,,,,,,,,,,,,
,2 layer,,,2 layer,"0,9951","0,9963","0,9961","0,9959","0,9964","0,9965",,,,,,,,,,,,,,,,
,3 Layer,,,3 Layer,"0,9959","0,9962","0,9961","0,9956","0,9963","0,9959",,,,,,,,,,,,,,,,
,4 Layer,,,4 Layer,"0,9961","0,9963","0,9962","0,9945","0,9964","0,9952",,,,,,,,,,,,,,,,
,5 Layer,,,5 Layer,"0,9962","0,9961","0,996","0,9936","0,9964","0,9957",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Model,Accuracy,,,,,,,,,,,,,,,,,,,,,
,,,,,1 Layer,2 layer,3 Layer,4 Layer,5 Layer,,,,,,,,,,,,,,,,,
,,,,CNN,"0,9935","0,9951","0,9959","0,9961","0,9962",,,,,,,,,,,,,,,,,
,,,,LSTM,"0,9963","0,9963","0,9962","0,9963","0,9961",,,,,,,,,,,,,,,,,
,,,,GRU,"0,9965","0,9961","0,9961","0,9962","0,996",,,,,,,,,,,,,,,,,
,,,,DNN,"0,9959","0,9959","0,9956","0,9945","0,9936",,,,,,,,,,,,,,,,,
,,,,CNN-LSTM,"0,9962","0,9964","0,9963","0,9964","0,9964",,,,,,,,,,,,,,,,,
,,,,CNN-DNN,"0,996","0,9965","0,9959","0,9952","0,9957",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Model,1 Layer,2 layer,3 Layer,4 Layer,5 Layer,,,,,,,,,,,,,,,,,
,,,,CNN,0.9935,0.9959,0.9963,0.9964,0.9964,,,,,,,,,,,,,,,,,
,,,,LSTM,0.9962,0.9965,0.9965,0.996,0.9963,,,,,,,,,,,,,,,,,
,,,,GRU,0.9965,0.9965,0.9964,0.9959,0.996,,,,,,,,,,,,,,,,,
,,,,DNN,0.9951,0.9951,0.9944,0.986,0.9879,,,,,,,,,,,,,,,,,
,,,,CNN-LSTM,0.9964,0.9964,0.9964,0.9964,0.9964,,,,,,,,,,,,,,,,,
,,,,CNN-DNN,0.9963,0.9964,0.9965,0.9962,0.996,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CNN,0.9935,0.9951,0.9959,0.9961,0.9962,,,,,,,,,,,,,,,,,
,,,,LSTM,0.9963,0.9963,0.9962,0.9963,0.9961,,,,,,,,,,,,,,,,,
,,,,GRU,0.9965,0.9961,0.9961,0.9962,0.996,,,,,,,,,,,,,,,,,
,,,,DNN,0.9959,0.9959,0.9956,0.9945,0.9936,,,,,,,,,,,,,,,,,
,,,,CNN-LSTM,0.9962,0.9964,0.9963,0.9964,0.9964,,,,,,,,,,,,,,,,,
,,,,CNN-DNN,0.996,0.9965,0.9959,0.9952,0.9957,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CNN,LSTM,GRU,DNN,CNN-LSTM,CNN-DNN,,,,,,,,,,,,,,,,,
,,,1 Layer,0.9935,0.9963,0.9965,0.9959,0.9962,0.996,,,,,,,,,,,,,,,,,
,,,2 layer,0.9951,0.9963,0.9961,0.9959,0.9964,0.9965,,,,,,,,,,,,,,,,,
,,,3 Layer,0.9959,0.9962,0.9961,0.9956,0.9963,0.9959,,,,,,,,,,,,,,,,,
,,,4 Layer,0.9961,0.9963,0.9962,0.9945,0.9964,0.9952,,,,,,,,,,,,,,,,,
,,,5 Layer,0.9962,0.9961,0.996,0.9936,0.9964,0.9957,,,,,,,,,,,,,,,,,
