Model,Source_File,,precision,recall,f1-score,support
CNN,report_01_class_CNN_4_lay.csv,weighted avg,0.9968,0.9964,0.9965,138329.0
LSTM,report_01_class_LSTM_4_lay.csv,weighted avg,0.9965,0.996,0.9962,138329.0
GRU,report_01_class_GRU_4_lay.csv,weighted avg,0.9965,0.9959,0.9961,138329.0
DNN,report_01_class_DNN_4_lay.csv,weighted avg,0.9912,0.986,0.9879,138329.0
CNN-LSTM,report_01_class_CNN-LSTM_4_lay.csv,weighted avg,0.9968,0.9964,0.9965,138329.0
CNN-GRU,report_01_class_CNN-GRU_4_lay.csv,weighted avg,0.9967,0.9964,0.9965,138329.0
CNN-DNN,report_01_class_CNN-DNN_4_lay.csv,weighted avg,0.9966,0.9962,0.9963,138329.0
