,precision,recall,f1-score,support
0,0.9856,0.9717,0.9786,30000.0
1,0.9943,0.9962,0.9952,30000.0
2,0.9945,0.9976,0.996,30000.0
3,0.9968,0.9819,0.9893,28907.0
4,0.9987,0.9957,0.9972,18819.0
5,0.4135,0.9353,0.5735,603.0
accuracy,0.9879,0.9879,0.9879,0.9879
macro avg,0.8972,0.9797,0.9216,138329.0
weighted avg,0.991,0.9879,0.989,138329.0
