,precision,recall,f1-score,support
0,0.9973,0.9933,0.9953,30000.0
1,0.9981,0.9988,0.9984,30000.0
2,0.9984,0.9988,0.9986,30000.0
3,0.9979,0.9936,0.9957,28907.0
4,0.9984,0.9986,0.9985,18819.0
5,0.6954,0.9353,0.7977,603.0
accuracy,0.9962,0.9962,0.9962,0.9962
macro avg,0.9476,0.9864,0.964,138329.0
weighted avg,0.9967,0.9962,0.9963,138329.0
