Model,Source_File,Train_Time_s,Inference_Time_s,Best_Val_Accuracy,Test_Accuracy,Avg_GPU_Util_%,Max_GPU_Mem_Util_%,Avg_GPU_Temp_C,Avg_Power_Draw_W,Avg_CPU_Util_%,Avg_Memory_CPU_%
CNN,report_02_power_CNN_3_lay.csv,665.11,8.99,0.9964,0.9963,43.15,20.0,50.54,73.64,31.77,13.32
LSTM,report_02_power_LSTM_3_lay.csv,2969.86,20.24,0.9965,0.9965,66.94,18.0,53.75,99.42,24.37,13.27
GRU,report_02_power_GRU_3_lay.csv,3190.54,19.13,0.9966,0.9964,69.09,15.0,48.34,85.07,23.16,17.92
DNN,report_02_power_DNN_3_lay.csv,390.64,8.48,0.995,0.9944,10.39,4.0,42.0,33.48,43.7,16.16
CNN-LSTM,report_02_power_CNN-LSTM_3_lay.csv,1535.15,15.58,0.9966,0.9964,53.07,12.0,58.72,79.09,37.31,18.82
CNN-GRU,report_02_power_CNN-GRU_3_lay.csv,1512.23,12.93,0.9966,0.9964,56.31,11.0,56.6,74.42,35.53,21.31
CNN-DNN,report_02_power_CNN-DNN_3_lay.csv,485.12,7.55,0.9965,0.9965,36.63,14.0,52.51,62.07,36.57,23.54
