Model,Source_File,Train_Time_s,Inference_Time_s,Best_Val_Accuracy,Test_Accuracy,Avg_GPU_Util_%,Max_GPU_Mem_Util_%,Avg_GPU_Temp_C,Avg_Power_Draw_W,Avg_CPU_Util_%,Avg_Memory_CPU_%
CNN,report_02_power_CNN_5_lay.csv,604.14,8.31,0.9967,0.9964,38.37,11.0,51.21,59.87,35.58,14.74
LSTM,report_02_power_LSTM_5_lay.csv,3864.42,27.68,0.9964,0.9963,63.54,12.0,45.93,80.55,27.83,15.69
GRU,report_02_power_GRU_5_lay.csv,4390.5,24.94,0.9965,0.996,70.85,10.0,42.93,70.16,23.51,20.03
DNN,report_02_power_DNN_5_lay.csv,442.34,8.65,0.9888,0.9879,11.82,4.0,42.0,33.29,43.07,17.24
CNN-LSTM,report_02_power_CNN-LSTM_5_lay.csv,1885.58,18.89,0.9965,0.9964,53.74,8.0,55.13,70.66,37.93,19.99
CNN-GRU,report_02_power_CNN-GRU_5_lay.csv,1986.12,16.0,0.9967,0.9964,57.42,7.0,53.78,65.83,35.14,22.42
CNN-DNN,report_02_power_CNN-DNN_5_lay.csv,500.36,7.79,0.9963,0.996,37.09,13.0,51.61,60.34,35.71,24.78
