,precision,recall,f1-score,support
0,0.9976,0.9936,0.9956,30000.0
1,0.9982,0.9985,0.9984,30000.0
2,0.9985,0.9988,0.9987,30000.0
3,0.9974,0.9939,0.9956,28907.0
4,0.9983,0.9988,0.9985,18819.0
5,0.7132,0.9403,0.8112,603.0
accuracy,0.9963,0.9963,0.9963,0.9963
macro avg,0.9505,0.9873,0.9663,138329.0
weighted avg,0.9967,0.9963,0.9965,138329.0
