,precision,recall,f1-score,support
0,0.9974,0.9953,0.9964,30000.0
1,0.9989,0.9985,0.9987,30000.0
2,0.9985,0.9989,0.9987,30000.0
3,0.9979,0.9936,0.9958,28907.0
4,0.9983,0.999,0.9986,18819.0
5,0.7268,0.9353,0.818,603.0
accuracy,0.9967,0.9967,0.9967,0.9967
macro avg,0.953,0.9868,0.9677,138329.0
weighted avg,0.997,0.9967,0.9968,138329.0
