,precision,recall,f1-score,support
0,0.9937,0.9929,0.9933,30000.0
1,0.9969,0.9981,0.9975,30000.0
2,0.998,0.9988,0.9984,30000.0
3,0.9988,0.9902,0.9945,28907.0
4,0.9984,0.9969,0.9976,18819.0
5,0.6734,0.937,0.7836,603.0
accuracy,0.9951,0.9951,0.9951,0.9951
macro avg,0.9432,0.9857,0.9608,138329.0
weighted avg,0.9956,0.9951,0.9953,138329.0
