Model,Source_File,Train_Time_s,Inference_Time_s,Best_Val_Accuracy,Test_Accuracy,Avg_GPU_Util_%,Max_GPU_Mem_Util_%,Avg_GPU_Temp_C,Avg_Power_Draw_W,Avg_CPU_Util_%,Avg_Memory_CPU_%
CNN,report_02_power_CNN_4_lay.csv,588.89,8.56,0.9966,0.9964,36.77,13.0,51.15,62.15,35.73,13.96
LSTM,report_02_power_LSTM_4_lay.csv,3518.03,23.83,0.9963,0.996,65.22,15.0,49.82,89.5,25.05,14.41
GRU,report_02_power_GRU_4_lay.csv,3823.39,21.96,0.9963,0.9959,70.64,12.0,45.75,77.1,23.1,18.84
DNN,report_02_power_DNN_4_lay.csv,391.14,7.64,0.9873,0.986,11.83,2.0,42.02,34.05,43.16,16.66
CNN-LSTM,report_02_power_CNN-LSTM_4_lay.csv,1687.36,16.8,0.9966,0.9964,54.77,10.0,57.24,75.95,36.32,19.44
CNN-GRU,report_02_power_CNN-GRU_4_lay.csv,1734.78,15.16,0.9965,0.9964,57.47,9.0,55.05,70.13,34.45,21.8
CNN-DNN,report_02_power_CNN-DNN_4_lay.csv,499.21,7.6,0.9963,0.9962,36.42,13.0,51.79,61.07,37.31,24.02
